Item,Language,Coder ID,Annotation time,Loom time,QA ID,QA time,Note Section
Item_00021_1,python,502,1hr 10m,10min,31,40,
Item_00022_1,python,502,1hr,10min,31,25,
Item_00034_1,python,502,1hr,10 min,31,25,
Item_00035_1,python,502,1hr 54 min,15 min,31,23,
Item_00283_2,java,502,30 min,10 min,53,14 min,
Item_00310_1,java,503,45,15,,,
Item_00311_1,java,503,76,20,,,
Item_00372_2,c++,503,65 min,10 min,33,55,
Item_00373_2,c++,503,52 min,12 min,33,12,
Item_00374_2,c++,503,47 min,10 min,33,9,
Item_00375_2,c++,503,33 min,13 min,33,9,
Item_00376_2,c++,503,37 min,15 min,33,15,
Item_00377_1,c++,503,50 min,10 min,33,15,
Item_00378_1,c++,503,40 min,10 min,33,13,
Item_00383_3,c++,503,60 min,16,33,18,
Item_00384_3,c++,503,36 min,13,33,10,
Item_00385_3,c++,503,24 min,8,33,10,
Item_00386_3,c++,503,27 min,15,33,18,
Item_00387_3,c++,503,53 min,17,33,18,
Item_00633_2,dart,503,47,15,,,
Item_00634_2,dart,503,57,12,56,20,
Item_00635_2,dart,503,65,7,56,10,
Item_00636_2,dart,503,66,10,56,15,
Item_00641_1,dart,503,80,20,,,
Item_00652_1,kotlin,503,83 mins,15 mins,,,
Item_00654_2,kotlin,503,85 mins,15 mins,,,
Item_00026_1,python,505,1 hour 10 mins,10 mins,31,15,
Item_00028_1,python,505,1 hour 20 mins,10 mins,31,34,
Item_00293_2,java,505,60 mins,8 mins,53,18 min,
Item_00294_2,java,505,45 mins,7 mins,53,19 min,
Item_00371_2,c++,505,60 mins,10 mins,33,15,
Item_00379_1,c++,505,1 hour 15 mins,5mins,33,20,
Item_00380_1,c++,505,1 hour 10 mins,10 mins,33,15,
Item_00381_1,c++,505,1 hour 10 mins,10 mins,33,11,
Item_00382_1,c++,505,1 hour 10 mins,10 mins,33,12,
Item_00388_3,c++,505,1 hour 15 mins,5 mins,33,10,
Item_00670_2,c,505,1 hour 5 mins,10 mins,33,12,
Item_00671_2,c,505,1 hour 5 mins,5 mins,33,15,
Item_00672_2,c,505,1 hour 10 mins,10 mins,33,19,
Item_00673_2,c,505,1 hour 15 mins,5 mins,33,8,
Item_00025_1,python,506,47,,31,57,
Item_00166_2,javascript,507,46 min,5 min,,,
Item_00167_2,javascript,507,1 hr,7 min,54,18,
Item_00180_1,javascript,507,41 min,5 min,,,
Item_00181_1,javascript,507,1 hour 2 min,8 min,,,
Item_00184_1,javascript,507,46 min,7 min,,,
Item_00453_2,typescript,507,35 min,11 min,,,
Item_00455_2,typescript,507,1 hr 10 min,12 min,54,20,
Item_00460_2,typescript,507,1 hr 5 min,8 min,54,15,
Item_00491_2,sql,508,52 min,8 min,31,,
Item_00492_2,sql,508,57 min,7 min,31,35,
Item_00495_2,sql,508,1 hour 15 min,8 min,31,25,
Item_00496_2,sql,508,50 min,7 min,31,16,
Item_00500_1,sql,508,1 hour 19 min,7 min,31,26,
Item_00505_1,sql,508,57 min,10 min,31,10,
Item_00187_1,javascript,509,,,,,
Item_00188_1,javascript,509,1 hour,5 min,54,90,"Fixed Return Task : 
(539) Annotation Time : 56 Minutes
Loom time : 8 Minutes"
Item_00262_2,java,509,1 hour,10 min,,,
Item_00263_2,java,509,45 min,8 min,,,
Item_00264_2,java,509,1 hour 10 min,7 min,56,40 min,
Item_00269_2,java,509,,,,,
Item_00270_2,java,509,10 min,,56,10 min,
Item_00271_2,java,509,50 min,10 min,56,25 min,
Item_00272_2,java,509,55 min,10 min,53,27 min,
Item_00273_2,java,509,58 min,10 min,53,28 min,
Item_00274_2,java,509,48 min,10 min,53,19 min,
Item_00291_2,java,509,49 min,7 min,53,17 min,
Item_00419_2,c#,509,40 min,10 min,33,8,
Item_00424_2,c#,509,1 hour,10 min,33,8,
Item_00004_2,python,510,20min,10min,31,35,
Item_00006_2,python,510,40min,10min,31,31,
Item_00007_2,python,510,1 hour 25min,15min,31,23,
